Time_s,GS_ROM,GS_SVA,GS_MAU,GS_REU,Total_Throughput_Gbps,Active_ISL_Links,Active_SGL_Links
11340.0,784.8819386626942,0.03502271248358533,616.063430404998,370.52492519177144,1771.5053169719472,67,6
11350.0,785.0684354836399,0.022343723055259522,616.063453133601,370.52492380670776,1771.6791561470036,67,6
11360.0,785.2498882220185,0.013721337970763121,616.0634758733539,370.5249224073239,1771.8520078406673,67,6
11370.0,785.426336084802,0,616.0634986242525,370.524920993605,1772.0147557026594,64,5
11380.0,785.5978180999066,0,616.06352138628,370.52491956551984,1772.1862590517064,65,5
11390.0,785.7643730446362,0,616.0635441594055,370.52491812306494,1772.3528353271067,65,5
11400.0,785.9260393790971,0,616.0635669436189,370.5249166662166,1772.5145229889326,65,5
11410.0,612.6250493012246,173.48196973980234,616.0635897388884,370.52491519493384,1772.695523974849,65,5
11420.0,613.5634833117858,172.93714659973233,616.063612545211,370.5249137091937,1773.0891561659228,65,5
11430.0,614.4982079738755,172.389512068081,616.063635362549,370.5249122089927,1773.4762676134983,65,5
11440.0,615.4292717096976,171.83908406822096,616.0636581909052,370.5249106943071,1773.856924663131,64,5
11450.0,616.3567227799454,171.2858803961669,616.0636810302553,370.52490916509737,1774.231193371465,64,5
11460.0,617.2806092435616,170.72991871731043,616.063703880569,370.5249076213484,1774.5991394627895,64,5
11470.0,618.2009789207481,170.18808009082534,616.0637267418284,370.5249060630381,1774.9776918164398,64,6
11480.0,619.117879358675,169.6365404177082,616.0637496140363,370.5249044901429,1775.3430738805623,66,6
11490.0,620.0313578001474,169.08655242450396,616.0637724971227,370.5249029026422,1775.7065856244162,66,6
11500.0,620.9414611546338,168.53917027784433,616.0637953911161,370.5249013005121,1776.0693281241065,66,6
11510.0,621.8482359717639,167.99539449429136,616.0638182959857,370.52489968372896,1776.43234844577,66,6
11520.0,622.7517284170393,167.45607395564699,616.0638412117014,370.52489805227265,1776.7965416366603,66,6
